date, time, bottom, left, middle, right, top
05/03/2016, 12:26:49, 23.8125, 23.25, 23.0625, 22.9375, 22.8125
05/03/2016, 12:27:00, 24.5, 24.0, 23.6875, 23.5625, 23.375
05/03/2016, 12:27:10, 24.9375, 24.3125, 24.0625, 23.9375, 23.6875
05/03/2016, 12:27:20, 25.25, 24.625, 24.3125, 24.1875, 24.0
05/03/2016, 12:27:30, 25.5625, 24.9375, 24.5, 24.4375, 24.25
05/03/2016, 12:27:40, 25.8125, 25.125, 24.6875, 24.5625, 24.375
05/03/2016, 12:27:50, 26.0, 25.3125, 24.875, 24.75, 24.5
05/03/2016, 12:28:01, 26.125, 25.375, 24.875, 24.75, 24.625
05/03/2016, 12:28:11, 26.1875, 25.4375, 24.9375, 24.8125, 24.75
05/03/2016, 12:28:21, 26.3125, 25.5625, 25.0625, 24.9375, 24.6875
05/03/2016, 12:28:31, 26.4375, 25.6875, 25.125, 25.0, 24.875
05/03/2016, 12:28:41, 26.6875, 26.125, 25.75, 25.4375, 25.625
05/03/2016, 12:28:51, 26.9375, 26.4375, 26.375, 25.9375, 26.125
05/03/2016, 12:29:01, 27.3125, 26.75, 26.875, 26.4375, 26.5
05/03/2016, 12:29:11, 27.5625, 27.0, 27.375, 26.9375, 26.8125
05/03/2016, 12:29:21, 27.875, 27.1875, 27.75, 27.375, 27.0625
05/03/2016, 12:29:31, 28.0625, 27.3125, 28.125, 27.75, 27.25
05/03/2016, 12:29:41, 28.25, 27.4375, 28.375, 28.0625, 27.375
05/03/2016, 12:29:51, 28.4375, 27.5625, 28.625, 28.375, 27.5625
05/03/2016, 12:30:01, 28.625, 27.6875, 28.875, 28.625, 27.6875
05/03/2016, 12:30:11, 28.75, 27.8125, 29.0625, 28.875, 27.8125
05/03/2016, 12:30:21, 28.875, 27.875, 29.3125, 29.0625, 27.9375
05/03/2016, 12:30:31, 29.0625, 27.9375, 29.5, 29.25, 28.0
05/03/2016, 12:30:41, 29.125, 28.0, 29.625, 29.4375, 28.125
05/03/2016, 12:30:51, 29.25, 28.0625, 29.75, 29.5625, 28.25
05/03/2016, 12:31:01, 29.3125, 28.125, 29.9375, 29.75, 28.3125
05/03/2016, 12:31:11, 29.4375, 28.1875, 30.0, 29.875, 28.4375
05/03/2016, 12:31:21, 29.4375, 28.25, 30.125, 30.0, 28.5
05/03/2016, 12:31:31, 29.5625, 28.3125, 30.25, 30.1875, 28.625
05/03/2016, 12:31:41, 29.625, 28.375, 30.3125, 30.25, 28.6875
05/03/2016, 12:31:51, 29.75, 28.4375, 30.4375, 30.375, 28.75
05/03/2016, 12:32:01, 29.8125, 28.4375, 30.5, 30.5, 28.8125
05/03/2016, 12:32:12, 29.875, 28.5, 30.625, 30.5625, 28.875
05/03/2016, 12:32:22, 29.9375, 28.5, 30.6875, 30.625, 28.9375
05/03/2016, 12:32:32, 30.0, 28.5625, 30.8125, 30.75, 28.9375
05/03/2016, 12:32:42, 30.0, 28.625, 30.875, 30.8125, 29.0
05/03/2016, 12:32:52, 30.0625, 28.625, 30.875, 30.9375, 29.0625
05/03/2016, 12:33:02, 30.125, 28.625, 30.9375, 30.9375, 29.125
05/03/2016, 12:33:12, 30.1875, 28.6875, 31.0625, 31.0625, 29.125
05/03/2016, 12:33:22, 30.25, 28.75, 31.0625, 31.125, 29.1875
05/03/2016, 12:33:32, 30.25, 28.75, 31.1875, 31.1875, 29.1875
05/03/2016, 12:33:42, 30.3125, 28.8125, 31.25, 31.25, 29.25
05/03/2016, 12:33:52, 30.3125, 28.8125, 31.3125, 31.375, 29.375
05/03/2016, 12:34:02, 30.4375, 28.875, 31.3125, 31.375, 29.375
05/03/2016, 12:34:12, 30.4375, 28.875, 31.375, 31.5, 29.375
05/03/2016, 12:34:22, 30.4375, 28.875, 31.375, 31.5, 29.4375
05/03/2016, 12:34:32, 30.5, 28.9375, 31.4375, 31.5625, 29.5
05/03/2016, 12:34:42, 30.625, 29.0, 31.5, 31.625, 29.5625
05/03/2016, 12:34:52, 30.625, 29.0, 31.5625, 31.625, 29.5625
05/03/2016, 12:35:02, 30.625, 29.0, 31.5625, 31.6875, 29.625
05/03/2016, 12:35:12, 30.6875, 29.0, 31.625, 31.6875, 29.5625
05/03/2016, 12:35:22, 30.6875, 29.0625, 31.6875, 31.8125, 29.625
05/03/2016, 12:35:32, 30.6875, 29.0625, 31.6875, 31.8125, 29.6875
05/03/2016, 12:35:42, 30.75, 29.0625, 31.75, 31.875, 29.6875
05/03/2016, 12:35:52, 30.75, 29.125, 31.8125, 31.9375, 29.75
05/03/2016, 12:36:02, 30.8125, 29.1875, 31.8125, 32.0, 29.75
05/03/2016, 12:36:12, 30.8125, 29.1875, 31.8125, 32.0, 29.8125
05/03/2016, 12:36:22, 30.875, 29.1875, 31.875, 32.0625, 29.8125
05/03/2016, 12:36:33, 30.875, 29.1875, 31.875, 32.0625, 29.875
05/03/2016, 12:36:43, 30.9375, 29.1875, 31.9375, 32.125, 29.875
05/03/2016, 12:36:53, 30.875, 29.25, 32.0, 32.125, 29.875
05/03/2016, 12:37:03, 31.0, 29.25, 32.0, 32.1875, 29.875
05/03/2016, 12:37:13, 30.9375, 29.25, 32.0625, 32.25, 29.9375
05/03/2016, 12:37:23, 31.0, 29.25, 32.0, 32.1875, 29.9375
05/03/2016, 12:37:33, 31.0625, 29.375, 32.125, 32.25, 30.0
05/03/2016, 12:37:43, 31.3125, 29.6875, 32.4375, 32.5625, 30.125
05/03/2016, 12:37:53, 31.5625, 30.125, 32.8125, 32.875, 30.5625
05/03/2016, 12:38:03, 31.9375, 30.75, 33.3125, 33.1875, 31.0625
05/03/2016, 12:38:13, 32.3125, 31.1875, 33.75, 33.5625, 31.5
05/03/2016, 12:38:23, 32.625, 31.6875, 34.1875, 33.8125, 31.9375
05/03/2016, 12:38:33, 32.9375, 32.125, 34.5625, 34.0625, 32.5
05/03/2016, 12:38:43, 33.25, 32.5, 35.0, 34.375, 32.875
05/03/2016, 12:38:53, 33.5625, 32.9375, 35.375, 34.625, 33.3125
05/03/2016, 12:39:03, 33.8125, 33.25, 35.75, 34.875, 33.6875
05/03/2016, 12:39:13, 34.0625, 33.625, 36.0625, 35.125, 34.0625
05/03/2016, 12:39:23, 34.3125, 33.875, 36.4375, 35.3125, 34.4375
05/03/2016, 12:39:33, 34.5625, 34.1875, 36.8125, 35.5, 34.75
05/03/2016, 12:39:43, 34.75, 34.4375, 37.0625, 35.6875, 35.0625
05/03/2016, 12:39:53, 34.9375, 34.75, 37.375, 35.9375, 35.375
05/03/2016, 12:40:03, 35.125, 35.0, 37.625, 36.0625, 35.6875
05/03/2016, 12:40:13, 35.3125, 35.1875, 37.875, 36.25, 35.875
05/03/2016, 12:40:23, 35.5, 35.4375, 38.0625, 36.375, 36.1875
05/03/2016, 12:40:33, 35.625, 35.625, 38.3125, 36.5625, 36.4375
05/03/2016, 12:40:44, 35.75, 35.875, 38.5625, 36.625, 36.6875
05/03/2016, 12:40:54, 35.875, 36.0625, 38.8125, 36.8125, 36.875
05/03/2016, 12:41:04, 36.0625, 36.25, 39.0, 36.9375, 37.125
05/03/2016, 12:41:14, 36.1875, 36.4375, 39.25, 37.0625, 37.3125
05/03/2016, 12:41:24, 36.3125, 36.5625, 39.4375, 37.25, 37.5625
05/03/2016, 12:41:34, 36.4375, 36.75, 39.5625, 37.3125, 37.75
05/03/2016, 12:41:44, 36.5625, 36.875, 39.8125, 37.4375, 37.9375
05/03/2016, 12:41:54, 36.6875, 37.0, 40.0, 37.5, 38.1875
05/03/2016, 12:42:04, 36.75, 37.1875, 40.125, 37.625, 38.3125
05/03/2016, 12:42:14, 36.8125, 37.3125, 40.3125, 37.75, 38.4375
05/03/2016, 12:42:24, 36.9375, 37.5, 40.4375, 37.8125, 38.625
05/03/2016, 12:42:34, 37.0, 37.5625, 40.625, 37.9375, 38.75
05/03/2016, 12:42:44, 37.125, 37.6875, 40.75, 38.0625, 38.9375
05/03/2016, 12:42:54, 37.125, 37.8125, 40.875, 38.125, 39.0625
05/03/2016, 12:43:04, 37.1875, 38.0, 40.9375, 38.1875, 39.25
05/03/2016, 12:43:14, 37.3125, 38.125, 41.125, 38.25, 39.375
05/03/2016, 12:43:24, 37.375, 38.1875, 41.25, 38.3125, 39.4375
05/03/2016, 12:43:34, 37.4375, 38.3125, 41.4375, 38.4375, 39.625
05/03/2016, 12:43:44, 37.5625, 38.375, 41.5625, 38.5, 39.75
05/03/2016, 12:43:54, 37.625, 38.5, 41.6875, 38.5625, 39.875
05/03/2016, 12:44:04, 37.6875, 38.5625, 41.8125, 38.625, 40.0625
05/03/2016, 12:44:14, 37.75, 38.75, 41.875, 38.75, 40.125
05/03/2016, 12:44:24, 37.8125, 38.8125, 42.0, 38.8125, 40.25
05/03/2016, 12:44:34, 37.875, 38.875, 42.125, 38.875, 40.375
05/03/2016, 12:44:44, 37.9375, 38.9375, 42.1875, 38.9375, 40.5
05/03/2016, 12:44:54, 38.0, 39.0625, 42.3125, 39.0625, 40.625
05/03/2016, 12:45:05, 38.0625, 39.125, 42.4375, 39.0625, 40.75
05/03/2016, 12:45:15, 38.125, 39.25, 42.5, 39.125, 40.8125
05/03/2016, 12:45:25, 38.1875, 39.3125, 42.625, 39.1875, 41.0
05/03/2016, 12:45:35, 38.25, 39.375, 42.6875, 39.25, 41.0625
05/03/2016, 12:45:45, 38.3125, 39.4375, 42.75, 39.3125, 41.1875
05/03/2016, 12:45:55, 38.3125, 39.5, 42.875, 39.4375, 41.25
05/03/2016, 12:46:05, 38.4375, 39.5625, 42.9375, 39.4375, 41.4375
05/03/2016, 12:46:15, 38.5, 39.625, 43.0625, 39.5, 41.5
05/03/2016, 12:46:25, 38.5625, 39.75, 43.125, 39.625, 41.625
05/03/2016, 12:46:35, 38.625, 39.75, 43.25, 39.625, 41.75
05/03/2016, 12:46:45, 38.6875, 39.875, 43.3125, 39.6875, 41.8125
05/03/2016, 12:46:55, 38.6875, 39.875, 43.4375, 39.8125, 41.875
05/03/2016, 12:47:05, 38.75, 40.0, 43.4375, 39.8125, 42.0
05/03/2016, 12:47:15, 38.8125, 40.0625, 43.5, 39.875, 42.125
05/03/2016, 12:47:25, 38.875, 40.125, 43.5625, 39.875, 42.1875
05/03/2016, 12:47:35, 38.875, 40.1875, 43.625, 39.9375, 42.3125
05/03/2016, 12:47:45, 38.9375, 40.1875, 43.75, 40.0, 42.3125
05/03/2016, 12:47:55, 38.9375, 40.3125, 43.8125, 40.0625, 42.4375
05/03/2016, 12:48:05, 39.0625, 40.375, 43.875, 40.0625, 42.5625
05/03/2016, 12:48:15, 39.0625, 40.375, 43.9375, 40.125, 42.5625
05/03/2016, 12:48:25, 39.0625, 40.4375, 44.0, 40.1875, 42.6875
05/03/2016, 12:48:35, 39.125, 40.5, 44.0, 40.1875, 42.75
05/03/2016, 12:48:45, 39.1875, 40.5625, 44.0625, 40.25, 42.875
05/03/2016, 12:48:55, 39.1875, 40.625, 44.125, 40.25, 42.9375
05/03/2016, 12:49:05, 39.25, 40.6875, 44.1875, 40.3125, 43.0
05/03/2016, 12:49:16, 39.3125, 40.75, 44.25, 40.3125, 43.0625
05/03/2016, 12:49:26, 39.375, 40.8125, 44.3125, 40.375, 43.125
05/03/2016, 12:49:36, 39.375, 40.875, 44.375, 40.375, 43.25
05/03/2016, 12:49:46, 39.375, 40.875, 44.375, 40.375, 43.25
05/03/2016, 12:49:56, 39.375, 40.9375, 44.4375, 40.4375, 43.3125
05/03/2016, 12:50:06, 39.4375, 41.0625, 44.5, 40.5, 43.375
05/03/2016, 12:50:16, 39.4375, 41.0625, 44.5625, 40.5, 43.4375
05/03/2016, 12:50:26, 39.5, 41.125, 44.625, 40.5, 43.5
05/03/2016, 12:50:36, 39.5, 41.1875, 44.6875, 40.5625, 43.5625
05/03/2016, 12:50:46, 39.5625, 41.1875, 44.6875, 40.5625, 43.625
