date, time, bottom, left, middle, right, top
08/03/2016, 12:07:18, 28.75, 27.6875, 28.5, 27.875, 27.625
08/03/2016, 12:07:28, 29.0, 27.75, 28.6875, 27.9375, 27.75
08/03/2016, 12:07:38, 29.25, 27.875, 28.875, 28.0625, 27.8125
08/03/2016, 12:07:48, 29.375, 28.0, 28.9375, 28.1875, 27.9375
08/03/2016, 12:07:58, 29.5625, 28.0625, 29.125, 28.25, 28.0625
08/03/2016, 12:08:08, 29.6875, 28.125, 29.1875, 28.3125, 28.125
08/03/2016, 12:08:18, 29.875, 28.25, 29.3125, 28.4375, 28.1875
08/03/2016, 12:08:28, 29.9375, 28.3125, 29.375, 28.4375, 28.25
08/03/2016, 12:08:38, 30.0625, 28.3125, 29.4375, 28.5, 28.25
08/03/2016, 12:08:49, 30.125, 28.375, 29.5, 28.5625, 28.375
08/03/2016, 12:08:59, 30.1875, 28.4375, 29.625, 28.5625, 28.375
08/03/2016, 12:09:09, 30.3125, 28.4375, 29.6875, 28.625, 28.4375
08/03/2016, 12:09:19, 30.4375, 28.5625, 29.75, 28.6875, 28.5
08/03/2016, 12:09:29, 30.6875, 28.6875, 29.875, 28.9375, 28.5625
08/03/2016, 12:09:39, 30.6875, 28.9375, 30.1875, 29.25, 28.8125
08/03/2016, 12:09:49, 31.0, 29.1875, 30.5, 29.625, 29.125
08/03/2016, 12:09:59, 31.0, 29.3125, 30.75, 29.75, 29.1875
08/03/2016, 12:10:09, 31.125, 29.375, 30.8125, 29.8125, 29.25
08/03/2016, 12:10:19, 31.1875, 29.5625, 30.875, 29.9375, 29.3125
08/03/2016, 12:10:29, 31.4375, 29.75, 31.1875, 30.25, 29.5625
08/03/2016, 12:10:39, 31.625, 29.9375, 31.5625, 30.5, 29.6875
08/03/2016, 12:10:49, 31.6875, 29.875, 31.5625, 30.3125, 29.625
08/03/2016, 12:10:59, 31.75, 29.8125, 31.375, 30.1875, 29.625
08/03/2016, 12:11:09, 31.875, 29.9375, 31.5, 30.3125, 29.6875
08/03/2016, 12:11:19, 31.9375, 30.0625, 31.6875, 30.5, 29.8125
08/03/2016, 12:11:29, 32.0, 29.9375, 31.625, 30.3125, 29.8125
08/03/2016, 12:11:39, 31.9375, 29.8125, 31.5, 30.0625, 29.625
08/03/2016, 12:11:49, 31.875, 29.6875, 31.375, 29.9375, 29.5625
08/03/2016, 12:11:59, 31.875, 29.5625, 31.3125, 29.8125, 29.5
08/03/2016, 12:12:09, 31.875, 29.5, 31.25, 29.75, 29.375
08/03/2016, 12:12:19, 31.8125, 29.5, 31.1875, 29.6875, 29.375
08/03/2016, 12:12:29, 31.8125, 29.4375, 31.125, 29.625, 29.3125
08/03/2016, 12:12:39, 31.8125, 29.4375, 31.125, 29.5625, 29.3125
08/03/2016, 12:12:49, 31.8125, 29.375, 31.0625, 29.5625, 29.3125
08/03/2016, 12:13:00, 31.8125, 29.375, 31.0625, 29.5625, 29.25
08/03/2016, 12:13:10, 31.75, 29.375, 31.0, 29.5, 29.25
08/03/2016, 12:13:20, 31.75, 29.375, 31.0, 29.5, 29.25
08/03/2016, 12:13:30, 31.9375, 29.5625, 31.125, 29.6875, 29.3125
08/03/2016, 12:13:40, 32.0625, 29.75, 31.375, 30.0, 29.5
08/03/2016, 12:13:50, 32.25, 29.9375, 31.625, 30.25, 29.6875
08/03/2016, 12:14:00, 32.5, 30.125, 31.875, 30.5, 29.875
08/03/2016, 12:14:10, 32.6875, 30.3125, 32.125, 30.6875, 30.0
08/03/2016, 12:14:20, 32.875, 30.5, 32.375, 30.9375, 30.125
08/03/2016, 12:14:30, 33.0, 30.625, 32.5625, 31.0625, 30.25
08/03/2016, 12:14:40, 33.1875, 30.75, 32.75, 31.25, 30.3125
08/03/2016, 12:14:50, 33.3125, 30.8125, 32.9375, 31.375, 30.5
08/03/2016, 12:15:00, 33.4375, 30.9375, 33.0625, 31.4375, 30.5
08/03/2016, 12:15:10, 33.5625, 31.0625, 33.1875, 31.5625, 30.625
08/03/2016, 12:15:20, 33.625, 31.1875, 33.3125, 31.6875, 30.6875
08/03/2016, 12:15:30, 33.8125, 31.1875, 33.375, 31.75, 30.75
08/03/2016, 12:15:40, 33.8125, 31.25, 33.5625, 31.8125, 30.8125
08/03/2016, 12:15:50, 33.875, 31.3125, 33.625, 31.875, 30.875
08/03/2016, 12:16:00, 34.0, 31.375, 33.6875, 32.0, 30.875
08/03/2016, 12:16:10, 34.125, 31.4375, 33.8125, 32.0, 31.0
08/03/2016, 12:16:20, 34.1875, 31.5, 33.875, 32.0625, 31.0
08/03/2016, 12:16:30, 34.25, 31.5, 33.875, 32.125, 31.0625
08/03/2016, 12:16:40, 34.3125, 31.5625, 34.0, 32.1875, 31.0625
08/03/2016, 12:16:50, 34.375, 31.625, 34.0625, 32.25, 31.125
08/03/2016, 12:17:00, 34.4375, 31.625, 34.125, 32.25, 31.1875
08/03/2016, 12:17:11, 34.4375, 31.6875, 34.1875, 32.3125, 31.25
08/03/2016, 12:17:21, 34.5, 31.75, 34.25, 32.375, 31.25
