left, middle, right, top
32.75, 36.4375, 38.25, 35.3125
32.5, 36.3125, 38.125, 35.1875
32.125, 36.3125, 38.0, 35.0
31.875, 36.25, 37.875, 34.8125
31.6875, 36.25, 37.75, 34.6875
31.5, 36.1875, 37.625, 34.5625
31.375, 36.125, 37.5625, 34.375
31.25, 36.125, 37.4375, 34.3125
31.125, 36.0625, 37.375, 34.25
31.0, 36.0625, 37.25, 34.125
30.9375, 36.0, 37.1875, 34.0625
30.8125, 36.0, 37.125, 34.0
30.8125, 35.9375, 37.0625, 33.9375
30.75, 35.9375, 37.0, 33.875
30.6875, 35.875, 36.9375, 33.8125
30.625, 35.875, 36.875, 33.8125
30.5625, 35.8125, 36.875, 33.75
30.5625, 35.75, 36.75, 33.6875
30.5, 35.75, 36.75, 33.6875
30.5, 35.6875, 36.6875, 33.6875
30.4375, 35.75, 36.6875, 33.625
30.375, 35.6875, 36.6875, 33.5625
30.375, 35.6875, 36.625, 33.5
30.375, 35.6875, 36.5625, 33.5625
30.3125, 35.625, 36.5625, 33.5
30.3125, 35.5625, 36.5625, 33.5
30.25, 35.625, 36.5, 33.4375
30.25, 35.5625, 36.5, 33.4375
30.3125, 35.5625, 36.4375, 33.4375
30.25, 35.5625, 36.4375, 33.4375
30.1875, 35.5625, 36.375, 33.375
30.1875, 35.5625, 36.375, 33.375
30.1875, 35.5, 36.4375, 33.3125
30.1875, 35.5, 36.375, 33.3125
30.1875, 35.5, 36.375, 33.3125
30.125, 35.5, 36.3125, 33.3125
30.125, 35.5, 36.3125, 33.3125
30.1875, 35.4375, 36.3125, 33.3125
30.125, 35.4375, 36.25, 33.25
30.0625, 35.4375, 36.25, 33.1875
30.0625, 35.375, 36.25, 33.25
30.0625, 35.4375, 36.25, 33.1875
30.0625, 35.4375, 36.25, 33.25
30.125, 35.375, 36.1875, 33.1875
30.0625, 35.375, 36.1875, 33.1875
30.0625, 35.375, 36.1875, 33.25
30.0625, 35.3125, 36.125, 33.1875
30.0625, 35.3125, 36.125, 33.1875
30.0625, 35.375, 36.125, 33.1875
30.0, 35.3125, 36.1875, 33.125
30.0, 35.3125, 36.125, 33.125
30.0625, 35.3125, 36.125, 33.125
30.0, 35.3125, 36.125, 33.125
30.0, 35.25, 36.125, 33.125
30.0, 35.25, 36.125, 33.125
30.0, 35.3125, 36.0625, 33.125
30.0, 35.3125, 36.0625, 33.125
30.0, 35.25, 36.0625, 33.125
30.0, 35.3125, 36.0625, 33.125
29.9375, 35.25, 36.0625, 33.125
29.9375, 35.25, 36.0625, 33.125
30.0, 35.25, 36.0625, 33.0625
29.9375, 35.25, 36.0625, 33.0625
29.9375, 35.25, 36.0625, 33.0625
29.9375, 35.25, 36.0625, 33.0625
29.9375, 35.25, 36.0625, 33.0625
29.9375, 35.25, 36.0, 33.0
30.0, 35.1875, 36.0, 33.0625
29.9375, 35.1875, 36.0, 33.0625
29.9375, 35.25, 36.0, 33.0625
29.9375, 35.25, 36.0, 33.0625
29.9375, 35.1875, 36.0, 33.0
30.0, 35.1875, 36.0, 33.0
29.9375, 35.25, 35.9375, 33.0
29.9375, 35.25, 35.9375, 33.0
29.9375, 35.25, 35.9375, 33.0625
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.1875, 35.9375, 33.0
29.9375, 35.125, 35.9375, 32.9375
29.9375, 35.1875, 35.9375, 33.0
29.875, 35.125, 35.9375, 32.9375
29.875, 35.125, 35.875, 33.0
29.875, 35.125, 35.9375, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.9375, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.1875, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.0625, 35.9375, 32.9375
29.875, 35.125, 35.8125, 32.9375
29.875, 35.125, 35.875, 32.9375
29.8125, 35.125, 35.875, 32.9375
29.875, 35.125, 35.8125, 32.9375
29.875, 35.125, 35.8125, 32.875
29.875, 35.0625, 35.875, 32.9375
29.875, 35.125, 35.875, 32.875
29.875, 35.0625, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.875
29.875, 35.125, 35.875, 32.875
29.875, 35.125, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.0625, 35.875, 32.9375
29.875, 35.125, 35.875, 32.875
29.875, 35.0625, 35.875, 32.9375
29.875, 35.125, 35.875, 32.9375
29.875, 35.0625, 35.875, 32.875
29.875, 35.0625, 35.8125, 32.875
29.875, 35.0625, 35.875, 32.875
29.875, 35.125, 35.875, 32.875
29.875, 35.125, 35.875, 32.875
29.8125, 35.125, 35.875, 32.875
29.8125, 35.125, 35.875, 32.875
29.875, 35.125, 35.875, 32.875
29.875, 35.0625, 35.8125, 32.9375
29.875, 35.0625, 35.875, 32.9375
29.875, 35.0625, 35.875, 32.875
29.8125, 35.0625, 35.8125, 32.875
29.8125, 35.0625, 35.875, 32.875
