left, middle, right, top
29.5, 34.8125, 36.125, 32.875
29.5625, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.0625, 32.875
29.5, 34.8125, 36.125, 32.9375
29.5, 34.8125, 36.125, 32.875
29.5, 34.875, 36.0625, 32.875
29.5, 34.875, 36.125, 32.9375
29.5, 34.8125, 36.0625, 32.875
29.5, 34.875, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5625, 34.875, 36.125, 32.875
29.5, 34.875, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.875, 36.1875, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.875, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.8125, 36.125, 32.875
29.5625, 34.875, 36.125, 32.875
29.5625, 34.875, 36.1875, 32.875
29.5, 34.875, 36.1875, 32.875
29.5, 34.875, 36.125, 32.9375
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.875
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.875
29.5625, 34.875, 36.125, 32.9375
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.875, 36.25, 32.9375
29.5625, 34.875, 36.1875, 32.875
29.5625, 34.9375, 36.1875, 32.9375
29.5625, 34.9375, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.875
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.9375, 36.1875, 32.9375
29.5625, 34.875, 36.1875, 32.9375
29.5625, 34.9375, 36.1875, 32.9375
29.5625, 34.9375, 36.1875, 32.9375
29.625, 34.9375, 36.25, 32.9375
29.625, 34.875, 36.1875, 33.0
29.625, 34.9375, 36.25, 33.0
29.625, 34.9375, 36.25, 33.0
29.625, 34.9375, 36.25, 32.9375
29.625, 34.9375, 36.25, 32.9375
29.625, 34.9375, 36.3125, 32.9375
29.625, 34.9375, 36.25, 33.0
29.625, 34.9375, 36.25, 32.9375
29.625, 34.9375, 36.25, 32.9375
29.625, 35.0, 36.25, 32.9375
29.625, 34.9375, 36.25, 33.0
29.5625, 34.9375, 36.25, 33.0
29.625, 35.0, 36.25, 32.9375
29.625, 35.0, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.625, 34.9375, 36.3125, 33.0
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 33.0
29.625, 34.9375, 36.25, 33.0
29.625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 33.0
29.625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 33.0
29.625, 35.0, 36.25, 33.0
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.875
29.5, 34.875, 36.25, 32.875
29.5625, 34.9375, 36.25, 32.875
29.5625, 34.9375, 36.25, 32.9375
29.5, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.875
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.875, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 35.0, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 35.0, 36.25, 32.9375
29.625, 34.9375, 36.3125, 33.0
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 33.0
29.5625, 35.0, 36.25, 32.9375
29.625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.25, 32.9375
29.5625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.3125, 33.0
29.5625, 34.9375, 36.3125, 32.9375
29.625, 35.0, 36.3125, 33.0
29.625, 34.9375, 36.3125, 32.9375
29.5625, 34.9375, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.5625, 34.9375, 36.3125, 33.0
29.5625, 34.9375, 36.3125, 32.9375
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 32.9375
29.625, 35.0, 36.3125, 33.0
29.625, 34.9375, 36.3125, 33.0
29.625, 35.0, 36.375, 32.9375
29.625, 35.0, 36.3125, 33.0
29.6875, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.25, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.6875, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.6875, 35.0, 36.3125, 33.0
29.625, 35.0, 36.3125, 33.0
29.6875, 35.0, 36.3125, 33.0
29.625, 35.0625, 36.3125, 33.0
29.6875, 35.0, 36.375, 33.0
29.6875, 35.0, 36.3125, 33.0
29.625, 35.0625, 36.375, 33.0
29.625, 35.0, 36.375, 33.0
29.625, 35.0625, 36.375, 33.0
29.625, 35.0, 36.375, 33.0
29.625, 35.0625, 36.375, 33.0
29.625, 35.0625, 36.375, 33.0625
29.625, 35.0, 36.375, 33.0625
29.6875, 35.0625, 36.3125, 33.0
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.4375, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.3125, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.75, 35.0625, 36.375, 33.0625
29.6875, 35.0, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.4375, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.75, 35.0625, 36.375, 33.0625
29.75, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.4375, 33.0
29.6875, 35.0625, 36.4375, 33.0
29.6875, 35.0625, 36.3125, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0625
29.6875, 35.0625, 36.375, 33.0
29.75, 35.0625, 36.4375, 33.0625
