left, middle, right, top
32.4375, 35.3125, 35.5, 35.25
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.25
32.5, 35.375, 35.5, 35.25
32.4375, 35.375, 35.5, 35.1875
32.5, 35.375, 35.4375, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.375, 35.375, 35.5, 35.1875
32.4375, 35.375, 35.5625, 35.1875
32.375, 35.3125, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.125
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.375, 35.3125, 35.5, 35.1875
32.375, 35.375, 35.5, 35.1875
32.375, 35.3125, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.25
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.375, 35.3125, 35.4375, 35.1875
32.4375, 35.375, 35.4375, 35.1875
32.375, 35.3125, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.1875
32.4375, 35.3125, 35.375, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.25, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.1875
32.375, 35.3125, 35.4375, 35.25
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.25
32.375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.375, 35.3125, 35.5, 35.1875
32.4375, 35.25, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.375, 35.25, 35.5, 35.1875
32.4375, 35.375, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.5, 35.3125, 35.4375, 35.1875
32.375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.5, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.25
32.4375, 35.3125, 35.5, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.125
32.4375, 35.3125, 35.4375, 35.125
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.4375, 35.3125, 35.375, 35.1875
32.375, 35.3125, 35.4375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.4375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.4375, 35.25, 35.3125, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.1875
32.375, 35.3125, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.125
32.4375, 35.25, 35.4375, 35.125
32.4375, 35.3125, 35.4375, 35.1875
32.4375, 35.3125, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.4375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.4375, 35.25, 35.4375, 35.1875
32.4375, 35.25, 35.4375, 35.125
32.375, 35.3125, 35.4375, 35.125
32.4375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.4375, 35.3125, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.3125, 35.375, 35.125
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.3125, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.125
32.3125, 35.25, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.125
32.3125, 35.25, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.125
32.3125, 35.25, 35.375, 35.125
32.375, 35.25, 35.4375, 35.125
32.375, 35.3125, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.3125, 35.375, 35.1875
32.375, 35.25, 35.4375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.3125, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.3125, 35.1875
32.4375, 35.1875, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.1875
32.375, 35.25, 35.3125, 35.1875
32.375, 35.25, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.1875
32.4375, 35.1875, 35.3125, 35.1875
32.4375, 35.1875, 35.375, 35.1875
32.375, 35.1875, 35.375, 35.1875
32.4375, 35.1875, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.125
32.4375, 35.25, 35.3125, 35.125
32.375, 35.1875, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.1875
32.375, 35.1875, 35.3125, 35.1875
32.375, 35.25, 35.3125, 35.1875
32.375, 35.25, 35.3125, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.4375, 35.1875, 35.375, 35.125
32.375, 35.1875, 35.3125, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.3125, 35.1875
32.375, 35.1875, 35.375, 35.1875
32.375, 35.1875, 35.375, 35.1875
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.125
32.3125, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.25, 35.375, 35.1875
32.375, 35.25, 35.375, 35.125
32.4375, 35.25, 35.4375, 35.125
32.375, 35.25, 35.375, 35.125
32.375, 35.3125, 35.4375, 35.125
32.375, 35.25, 35.4375, 35.1875
